VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2015-01-07 19:28:00,2015-01-07 19:47:00,3,3.54,-73.932161,40.759866,1,N,-73.923838,40.740689,3,10.42,0.5,0.5,0.44,0.0,0.3,12.16
2,2015-01-21 00:11:00,2015-01-21 01:13:00,4,6.18,-73.957029,40.743195,3,N,-73.973405,40.74793,1,21.57,1.0,0.5,2.01,5.0,0.3,30.38
2,2015-01-07 20:08:00,2015-01-07 20:51:00,5,11.48,-74.018408,40.79422,1,N,-74.011078,40.79862,2,32.56,0.0,0.5,2.55,0.0,0.3,35.91
2,2015-01-04 01:05:00,2015-01-04 02:03:00,2,19.41,-73.954395,40.718485,1,N,-73.93752,40.702025,1,56.27,0.0,0.5,3.66,0.0,0.3,60.73
1,2015-01-18 14:52:00,2015-01-18 15:20:00,5,11.08,-73.97719,40.728093,1,N,-73.9663,40.716042,1,29.12,0.5,0.5,4.12,0.0,0.3,34.54
1,2015-01-01 04:41:00,2015-01-01 06:28:00,6,17.08,-73.941871,40.791496,1,N,-73.936368,40.806984,1,47.18,0.0,0.5,6.73,0.0,0.3,54.71
1,2015-01-26 22:13:00,2015-01-27 00:00:00,1,2.66,-74.015148,40.771066,1,N,-73.998845,40.761038,1,11.05,0.5,0.5,0.51,0.0,0.3,12.86
2,2015-01-27 18:21:00,2015-01-27 18:53:00,4,12.85,-73.908436,40.780812,1,N,-73.906863,40.79311,2,40.84,0.0,0.5,0.9,0.0,0.3,42.54
1,2015-01-30 19:12:00,2015-01-30 21:01:00,3,10.91,-73.983426,40.716466,1,N,-73.996695,40.705216,1,32.14,0.0,0.5,0.42,0.0,0.3,33.36
2,2015-01-12 06:01:00,2015-01-12 06:08:00,4,1.22,-73.983895,40.728484,1,N,-73.967564,40.718067,1,9.14,0.0,0.5,1.8,0.0,0.3,11.74
2,2015-01-04 22:10:00,2015-01-04 23:10:00,6,7.67,-73.991483,40.772822,1,N,-73.978071,40.765653,1,25.5,0.0,0.5,3.01,0.0,0.3,29.31
2,2015-01-19 02:18:00,2015-01-19 02:42:00,1,13.97,-73.942579,40.717437,1,N,-73.954216,40.719095,1,38.8,0.0,0.5,1.36,10.0,0.3,50.96
1,2015-01-20 16:01:00,2015-01-20 16:06:00,1,18.06,-74.008828,40.789722,1,N,-73.992943,40.805205,2,51.48,0.0,0.5,0.87,0.0,0.3,53.15
